abonatórios;1;;;
abonecada;0;;;
abonecadas;0;;;
abonecado;0;;;
abonecados;0;;;
abonecar;0;;;
aboquejar;-1;;;
aborcar;-1;;;
abordar;0;;;
aborígene;-1;;;
aborígenes;-1;;;
aborreça;-1;;;
aborreçais;-1;;;
aborreçam;-1;;;
aborreçamo;-1;;;
aborreçamos;-1;;;
aborreças;-1;;;
aborrece;-1;;;
aborrecê;-1;;;
aborrecedor;-1;;;
aborrecei;-1;;;
aborreceis;-1;;;
aborrecem;-1;;;
aborrecemo;-1;;;
aborrecemos;-1;;;
aborrecendo;-1;;;
aborrecente;-1;;;
aborrecer;-1;;;
aborrecer;1;;;
aborrecera;-1;;;
aborrecerá;-1;;;
aborreceram;-1;;;
aborrecêramo;-1;;;
aborrecêramos;-1;;;
aborrecerão;-1;;;
aborreceras;-1;;;
aborrecerás;-1;;;
aborrecerde;-1;;;
aborrecerdes;-1;;;
aborrecere;-1;;;
aborrecerei;-1;;;
aborrecêrei;-1;;;
aborrecereis;-1;;;
aborrecêreis;-1;;;
aborrecerem;-1;;;
aborreceremos;-1;;;
aborreceres;-1;;;
aborreceria;-1;;;
aborreceriam;-1;;;
aborreceríamos;-1;;;
aborrecerias;-1;;;
aborreceríeis;-1;;;
aborrecermo;-1;;;
aborrecermos;-1;;;
aborrecer-se;1;;;
aborreces;-1;;;
aborrecesse;-1;;;
aborrecêsseis;-1;;;
aborrecessem;-1;;;
aborrecêssemos;-1;;;
aborrecesses;-1;;;
aborreceste;-1;;;
aborrecestes;-1;;;
aborreceu;-1;;;
aborreci;-1;;;
aborrecia;-1;;;
aborreciam;-1;;;
aborrecíamo;-1;;;
aborrecíamos;-1;;;
aborrecias;-1;;;
aborrecida;-1;;;
aborrecidas;-1;;;
aborrecido;-1;;;
aborrecidos;-1;;;
aborrecíei;-1;;;
aborrecíeis;-1;;;
aborrecimento;-1;;;
aborrecível;-1;;;
aborreço;-1;;;
aborrido;-1;;;
aborrível;-1;;;
aborta;-1;;;
abortada;-1;;;
abortadas;-1;;;
abortado;-1;;;
abortados;-1;;;
abortar;-1;;;
abotoar;0;;;
abraçada;1;;;
abracadabrante;1;;;
abracadábrico;1;;;
abraçadas;1;;;
abraçado;1;;;
abraçados;1;;;
abraçar;1;;;
aceitar;1;;;
abraçar-se;1;;;
abraço;1;;;
abraços;1;;;
abrancar;1;;;
abrandamento;1;;;
abrandar;1;;;
abrandar-se;1;;;
abrangente;1;;;
abrangentes;1;;;
abranger;-1;;;
abrangida;-1;;;
abrangidas;-1;;;
abrangido;-1;;;
abrangidos;-1;;;
abrasar;1;;;
abrasar-se;1;;;
abrasear;-1;;;
abrasileirada;0;;;
abrasileiradas;0;;;
abrasileirado;0;;;
abrasileirados;0;;;
abrasileirar;0;;;
abrejar;1;;;
abreviar;0;;;
abrigada;0;;;
abrigadas;0;;;
abrigado;0;;;
abrigados;0;;;
abrigar;-1;;;
abrilhantada;1;;;
abrilhantadas;1;;;
abrilhantado;1;;;
abrilhantados;1;;;
abrilhantar;1;;;
abrir;1;;;
abrir-se;-1;;;
ab-rogar;-1;;;
abrolhar;0;;;
abrupta;-1;;;
abruptas;-1;;;
abrupto;-1;;;
abruptos;-1;;;
abrutado;-1;;;
abrutalhada;-1;;;
abrutalhadas;-1;;;
abrutalhado;-1;;;
abrutalhados;-1;;;
abrutalhar;1;;;
abrutar;1;;;
abscidar;1;;;
abscidar-se;1;;;
absentista;-1;;;
absentistas;-1;;;
absoluta;1;;;
absolutas;1;;;
absolutista;0;;;
absolutistas;0;;;
absoluto;1;;;
absolutos;1;;;
absolve;1;;;
absolvendo;1;;;
absolver;1;;;
absolvida;0;;;
absolvidas;0;;;
absolvido;1;;;
absolvidos;1;;;
absonar;-1;;;
absorta;-1;;;
absortas;-1;;;
absorto;-1;;;
absortos;1;;;
absorvente;1;;;
absorventes;1;;;
absorver;1;;;
absorver-se;1;;;
absorvido;1;;;
abstémia;1;;;
abstémias;1;;;
abstémica;1;;;
abstémicas;1;;;
abstémico;1;;;
abstémicos;1;;;
abstémio;1;;;
abstémios;1;;;
abstencionista;0;;;
abstencionistas;0;;;
abster;0;;;
abster-se;0;;;
abstinente;0;;;
abstinentes;0;;;
abstraccionista;0;;;
abstraccionistas;0;;;
abstracta;-1;;;
abstractas;-1;;;
abstracto;-1;;;
abstractos;-1;;;
abstraída;-1;;;
abstraídas;-1;;;
abstraído;-1;;;
abstraídos;-1;;;
abstrair;1;;;
abstrair-se;0;;;
abstrata;-1;;;
abstratas;-1;;;
abstrato;-1;;;
abstratos;-1;;;
abstrusa;-1;;;
abstrusas;-1;;;
abstrusidade;-1;;;
abstruso;-1;;;
abstrusos;-1;;;
absumir;-1;;;
absurda;-1;;;
absurdas;-1;;;
Absurdo;-1;;;
absurdos;-1;;;
abugalhar;1;;;
abulia;-1;;;
abúlica;-1;;;
abúlicas;-1;;;
abúlico;-1;;;
